correspondence_id,historical_record_id,historical_form_diplomatic,historical_matched_component,historical_printed_page,graphic_key,modern_record_id,modern_headword,modern_headword_raw,modern_headword_normalized,modern_matched_component,modern_homonym_number,modern_classification,modern_translation_raw,modern_source_code,relation_type,candidate_status,modern_candidates_for_key,short_form_warning,modern_commit,human_reviewed,review_decision
RHD-CORR-000001,RHD-S1809-00026,Abé,Abé,353,abe,RD-000002,Abé,Abé,abe,Abé,,Adv,Hoy,SRC-02,exact_normalized_graphic_match,machine_candidate,1,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000002,RHD-S1809-01649,Ali oder ari,ari,353,ari,RD-000091,Arí,Arí,ari,Arí,,Adv,Tarde,SRC-02,exact_normalized_graphic_match,machine_candidate,1,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000003,RHD-S1809-01655,Ari,Ari,354,ari,RD-000091,Arí,Arí,ari,Arí,,Adv,Tarde,SRC-02,exact_normalized_graphic_match,machine_candidate,1,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000004,RHD-S1809-01688,Boní,Boní,355,boni,RD-000301,Boní,Boní,boni,Boní,,S,Hermano menor,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000005,RHD-S1809-01700,Búra,Búra,355,bura,RD-000341,Burá,Burá,bura,Burá,,Vt,Hacer camino,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000006,RHD-S1809-01702,Ca,Ca,355,ca,RD-000357,ca,1ca,ca,ca,1,Vi,Llevar (en la mano),SRC-02,exact_normalized_graphic_match,machine_candidate,3,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000007,RHD-S1809-01702,Ca,Ca,355,ca,RD-000358,ca,1ca,ca,ca,1,Vi,Traer,SRC-02,exact_normalized_graphic_match,machine_candidate,3,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000008,RHD-S1809-01702,Ca,Ca,355,ca,RD-000359,ca,2ca,ca,ca,2,Vi,Hacer sombra,SRC-02,exact_normalized_graphic_match,machine_candidate,3,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000009,RHD-S1809-01723,Có oder gö,Có,355,co,RD-000472,co,1co,co,co,1,Vi,Ser (Cuando uno dice: Echirigá ju. Así es. El otro contesta: Echirigá co. Así es.),SRC-02,exact_normalized_graphic_match,machine_candidate,2,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000010,RHD-S1809-01723,Có oder gö,Có,355,co,RD-000473,co,2co,co,co,2,Vi,Picar (chile) Echi co'huáami huabé cóori. Ésa comida estaba muy picante. [pret: cóori; fut.: córama],SRC-02,exact_normalized_graphic_match,machine_candidate,2,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
