correspondence_id,historical_record_id,historical_form_diplomatic,historical_matched_component,historical_printed_page,historical_graphic_key,modern_record_id,modern_headword,modern_matched_component,modern_graphic_key,modern_classification,modern_translation_raw,modern_source_code,edit_distance,similarity,relation_type,candidate_status,modern_commit,human_reviewed,review_decision
RHD-PCORR-000001,RHD-S1809-00027,Abiti oder Apiti,Abiti,353,abiti,RD-000004,Abijí,Abijí,abiji,Adv,"Todavía, aún",SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000002,RHD-S1809-00029,Acáca,Acáca,353,acaca,RD-000009,Acará,Acará,acara,Vi,Poner (huaraches),SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000003,RHD-S1809-00029,Acáca,Acáca,353,acaca,RD-000021,Acaná,Acaná,acana,Adv,Boca abajo,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000004,RHD-S1809-00029,Acáca,Acáca,353,acaca,RD-000023,Acará,Acará,acara,Vt,Herrar,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000005,RHD-S1809-00034,"Aitá, oder caitá",caitá,353,caita,RD-000364,Cabita,Cabita,cabita,Vi,Rodarse (una cosa larga),SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000006,RHD-S1809-00034,"Aitá, oder caitá",caitá,353,caita,RD-000464,Catá,Catá,cata,S,s arco,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000007,RHD-S1809-00042,Jejé,Jejé,358,jeje,RD-001141,Jeré,Jeré,jere,,Así es,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000008,RHD-S1809-00043,Iguá,Iguá,359,igua,RD-001069,Ihuá,Ihuá,ihua,Vi,Tener agujero,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000009,RHD-S1809-00046,Jolá,Jolá,359,jola,RD-001169,Jora,Jora,jora,Vt,Escarbar (un hoyo),SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000010,RHD-S1809-00047,Pahí,Pahí,363,pahi,RD-001799,Pachí,Pachí,pachi,,"1. s Elote, mazorca 2. vi Hay elotes",SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000011,RHD-S1809-00047,Pahí,Pahí,363,pahi,RD-001809,Paní,Paní,pani,Adv,Arriba (en la falda),SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000012,RHD-S1809-00049,Páli,Páli,363,pali,RD-001809,Paní,Paní,pani,Adv,Arriba (en la falda),SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000013,RHD-S1809-00052,Pará,Pará,363,para,RD-001796,Paca,Paca,paca,Vt,"Colar (p. ej.: café, leche, agua)",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000014,RHD-S1809-00052,Pará,Pará,363,para,RD-001812,Pasá,Pasá,pasa,Vt,"Echar, tirar",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000015,RHD-S1809-00052,Pará,Pará,363,para,RD-001830,Pera,Pera,pera,,1. vt Poner (carona a la bestia) 2. s Carona,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000016,RHD-S1809-00058,Peguá,Peguá,363,pegua,RD-001827,Pehua,Pehua,pehua,Vi,Fumar,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000017,RHD-S1809-01653,Balá,Balá,354,bala,RD-000127,Bacá,Bacá,baca,S,Carrizo,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000018,RHD-S1809-01653,Balá,Balá,354,bala,RD-000174,Baná,Baná,bana,S,Mejilla,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000019,RHD-S1809-01653,Balá,Balá,354,bala,RD-000184,Bapá,Bapá,bapa,Vt,Apedrear,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000020,RHD-S1809-01663,Baicá,Baicá,354,baica,RD-000127,Bacá,Bacá,baca,S,Carrizo,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
