record_id,source_code,direction,headword_raw,headword_ocr_raw,headword_search,definition_raw,translation_es_editorial,editorial_note,article_ocr_raw,printed_page,pdf_page,source_ocr_line_start,source_ocr_line_end,delimiter,extraction_score,segmentation_confidence,curated_anchor,extraction_method,status,validation,facsimile_column,headword_diplomatic,article_diplomatic,diplomatic_status,diplomatic_batch,diplomatic_note,human_verified,diplomatic_review_method
RHD-S1809-00061,STEFFEL-1809,DE-RAR,Vorrede erinnert habe,Vorrede erinnert habe,vorrede erinnert habe,"Denn guale, z. B. wer aber fündiget, beleidiget Gott, mapu guale tseti jola, Diosi sjöruje.- - ao 'bermal.‘ Bull ‚tschigoco, ""huls:tchig6, sinépi putsé, huli puts (bgehärtet: Peguameke,",,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Vorrede erinnert habe. 
Denn guale, z. B. wer aber 
fündiget, beleidiget Gott, 
mapu guale tseti jola, Diosi 
sjöruje.- - ao 
'bermal.‘ Bull ‚tschigoco, 
""huls:tchig6, sinépi putsé, 
huli puts 
(bgehärtet: Peguameke,",301,11,443,451,.,13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00001,STEFFEL-1809,DE-RAR,Abgehen,lbgehen,abgehen,"Nehe simi. Abge⸗ hend Simiemeke. Es gez het ab. RGco. Taitéki, ies, „ lbgemattet. Lelsiameke.",irse / salir,source line begins OCR as “lbgehen”; headword editorially restored to Abgehen,"lbgehen. Nehe simi. Abge⸗ 
hend Simiemeke. Es gez 
het ab. RGco. Taitéki, 
ies, „ 
lbgemattet. Lelsiameke.",301,11,452,456,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00002,STEFFEL-1809,DE-RAR,Abhalten,ibhalten,abhalten,Sul. .,detener / contener,OCR line begins “ibhalten”,ibhalten. Sul. .,301,11,457,457,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00003,STEFFEL-1809,DE-RAR,Abhauen,lbhauen,abhauen,"Sika, tepurd, te- puld. Abgehauen. Siki⸗ rügameke. Tepulirügameke.",cortar / tajear,historical source forms preserved; OCR uncertain in final vowels,"lbhauen. Sika, tepurd, te- 
puld. Abgehauen. Siki⸗ 
rügameke. Tepulirügameke.",301,11,458,460,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00004,STEFFEL-1809,DE-RAR,Abhäufen,Abhaͤufen,abhaeufen,Tala. 175,amontonar / retirar un montón,OCR reads “Abhaͤufen. Tala.”,Abhaͤufen. Tala. 175,301,11,461,461,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00005,STEFFEL-1809,DE-RAR,Abmessen,Ibmeſſen,abmessen,"Nensguä,",medir,OCR line begins “Ibmeſſen”,"Ibmeſſen. Nensguä,",301,11,462,462,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00006,STEFFEL-1809,DE-RAR,Abnehmen,Abnehmen,abnehmen,Sehug um.,disminuir / quitar,source form preserved,Abnehmen. Sehug um.,301,11,463,463,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00007,STEFFEL-1809,DE-RAR,Abschicken,lbſchicken,abschicken,Hula Abgeſchickt.,enviar / despachar,OCR line begins “lbſchicken”,lbſchicken. Hula Abgeſchickt.,301,11,464,464,curated,100,curated_anchor,yes,coverage-first OCR line segmentation v1,seed_curated_ocr_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00062,STEFFEL-1809,DE-RAR,Hulirugam eke,Hulirugam eke,hulirugam eke,,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,Hulirugam eke.,301,11,465,465,.,15,medium_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
RHD-S1809-00063,STEFFEL-1809,DE-RAR,Abſchneiden,Abſchneiden,abschneiden,f. abhauen. bſcheu haben. Skitsiki.,,Segmentación automática de alta cobertura; límite de artículo y lectura OCR pendientes de cotejo facsimilar.,"Abſchneiden, f. abhauen. 
bſcheu haben. Skitsiki.",301,11,466,467,",",13,low_machine,no,coverage-first OCR line segmentation v1,machine_segmented_unverified,pendiente_de_cotejo_facsímil_y_validación_lingüística,,,,,,,,
