member_id,graphic_key,surface_forms,exclusive_suffix_class,mechanically_stripped_suffix,mechanically_stripped_base,source_layers,printed_pages,german_contexts,internal_concordance_count,internal_reciprocal_german_support_count,human_reviewed
RHD-AMEKE-00001,ajonameke,Ajónameke,ameke_other,ameke,ajon,RAR-DE,353,ein Zorniger,2,0,False
RHD-AMEKE-00002,baicarugameke,Baicarúgameke,ugameke,ugameke,baicar,RAR-DE,354,dreyfach,0,0,False
RHD-AMEKE-00003,bajeameke,Bajéameke,ameke_other,ameke,baje,RAR-DE,354,der Rufende,1,0,False
RHD-AMEKE-00004,bassatiameke,Baſſatiameke,iameke,iameke,bassat,DE-RAR-residual-recovery,347,Urbar,0,0,False
RHD-AMEKE-00005,bassiameke,Baſſiameke,iameke,iameke,bass,DE-RAR-residual-recovery,352,Zeitig,0,0,False
RHD-AMEKE-00006,bassirugameke,Baſſirúgameke,ugameke,ugameke,bassir,RAR-DE,354,Gekochtes,1,0,False
RHD-AMEKE-00007,bassirujameke,baſſirújameke,jameke,jameke,bassiru,DE-RAR-residual-recovery,341,Sieden,0,0,False
RHD-AMEKE-00008,bassujameke,Baſſujameke | baſſújameke,jameke,jameke,bassu,DE-RAR-residual-recovery,324 | 341,Heiß | Sieden,0,0,False
RHD-AMEKE-00009,bucuameke,Bucúameke,ameke_other,ameke,bucu,DE-RAR-residual-recovery,348,Viehiſch,0,0,False
RHD-AMEKE-00010,bulirugameke,Bulirúgameke,ugameke,ugameke,bulir,RAR-DE,355,Gebundenes,1,0,False
RHD-AMEKE-00011,cavolameke,Cavólameke,ameke_other,ameke,cavol,RAR-DE,355,"oder cavórameke, kugelförmig",3,1,False
RHD-AMEKE-00012,coajameke,Coajameke,jameke,jameke,coa,RAR-DE,355,das Eſſen,2,1,False
RHD-AMEKE-00013,cocojameke,Cocojameke | Cocojámeke,jameke,jameke,coco,DE-RAR-residual-recovery,327 | 341,Krank | Sieh,0,0,False
RHD-AMEKE-00014,cotschimeameke,Cotſchimeameke,ameke_other,ameke,cotschime,RAR-DE,355,Ein Schlafender,1,0,False
RHD-AMEKE-00015,cuguiameke,Cuguíameke,iameke,iameke,cugu,RAR-DE,356,Helfer,1,1,False
RHD-AMEKE-00016,culeameke,Culéameke,ameke_other,ameke,cule,RAR-DE,356,"Ein Ort, oder Gegend, wo es Holz oder Bäume giebt",0,0,False
RHD-AMEKE-00017,culuameke,Culúameke,ameke_other,ameke,culu,RAR-DE,356,"dick, fett, leibig, Schmeerbauch",2,2,False
RHD-AMEKE-00018,cuneameke,Cunéameke,ameke_other,ameke,cune,RAR-DE,356,Verheurathete Weibsperson,3,0,False
RHD-AMEKE-00019,cusigameke,Cusigameke,gameke,gameke,cusi,DE-RAR-residual-recovery,325,Hölzern,0,0,False
RHD-AMEKE-00020,cusigueameke,Cusiguéameke,ameke_other,ameke,cusigue,RAR-DE,356,"Der einen Stab oder Stecken hat, ſ",1,0,False
RHD-AMEKE-00021,etschagueameke,Etſchaguéameke,ameke_other,ameke,etschague,DE-RAR-residual-recovery,307,Bärtig,0,0,False
RHD-AMEKE-00022,etschaguoameke,Etschaguóameke,ameke_other,ameke,etschaguo,RAR-DE,356,"Der einen Bart hat, s",0,0,False
RHD-AMEKE-00023,gabassirugameke,gabaſſirúgameke,ugameke,ugameke,gabassir,DE-RAR-residual-recovery,326,Kochen,0,0,False
RHD-AMEKE-00024,galatsaneliameke,Galatſaneliameke,iameke,iameke,galatsanel,DE-RAR-residual-recovery,320,Geſegnet,0,0,False
RHD-AMEKE-00025,ganeliameke,Ganeliameke,iameke,iameke,ganel,RAR-DE,357,"Der geſund iſt, dem es gut geht",3,1,False
RHD-AMEKE-00026,gassirugameke,Gaſſirúgameke,ugameke,ugameke,gassir,DE-RAR-residual-recovery,338,Scherben,0,0,False
RHD-AMEKE-00027,guauguerugameke,Guauguérúgameke,ugameke,ugameke,guauguer,DE-RAR-residual-recovery,320,Gebraten,0,0,False
RHD-AMEKE-00028,guelameke,Guelámeke,ameke_other,ameke,guel,RAR-DE,357,altes Weib,2,1,False
RHD-AMEKE-00029,guenomi tschiperameke,Guenomi tſchipérameke,ameke_other,ameke,guenomi tschiper,DE-RAR-residual-recovery,309,Blech,0,0,False
RHD-AMEKE-00030,haagameke,Haagameke,gameke,gameke,haa,RAR-DE,357,Belebt,2,1,False
RHD-AMEKE-00031,holirugameke,holirúgameke,ugameke,ugameke,holir,DE-RAR-residual-recovery,350,Waizen,0,0,False
RHD-AMEKE-00032,honeameke,honéameke,ameke_other,ameke,hone,DE-RAR-residual-recovery,350,Waizen,0,0,False
RHD-AMEKE-00033,hulirugameke,Hulirúgameke,ugameke,ugameke,hulir,DE-RAR-residual-recovery,301,Abſchicken,0,0,False
RHD-AMEKE-00034,humeameke,Humeameke,ameke_other,ameke,hume,RAR-DE,358,Flüchtling,2,0,False
RHD-AMEKE-00035,ibe motschiameke,Ibe motſchiameke,iameke,iameke,ibe motsch,DE-RAR-residual-recovery,313,Eingebohrner,0,0,False
RHD-AMEKE-00036,igueameke,Igueameke,ameke_other,ameke,igue,RAR-DE,359,"Ein Starker, der Kräfte hat",3,0,False
RHD-AMEKE-00037,ipagatugameke,Ipagatúgameke,ugameke,ugameke,ipagat,DE-RAR-residual-recovery,321,Getauft,0,0,False
RHD-AMEKE-00038,itschiguajameke,Itſchiguájameke,jameke,jameke,itschigua,RAR-DE,359,Dieb,1,1,False
RHD-AMEKE-00039,jauguirameke,Jauguirameke,ameke_other,ameke,jauguir,DE-RAR-residual-recovery,346,Tänzer,0,0,False
RHD-AMEKE-00040,jolajameke,jolájameke,jameke,jameke,jola,DE-RAR-residual-recovery,346,Thun,0,0,False
RHD-AMEKE-00041,jolarugameke,Jolárugameke | jolarúgameke,ugameke,ugameke,jolar,DE-RAR-residual-recovery,330 | 346,Machen | Thun,0,0,False
RHD-AMEKE-00042,juma guetsi gatigameke,Jumá guetsí gatígameke,gameke,gameke,juma guetsi gati,RAR-DE,359,Allgegenwärtig,0,0,False
RHD-AMEKE-00043,jumajumajameke,Jumájumájameke,jameke,jameke,jumajuma,RAR-DE,359,Allmächtig,1,1,False
RHD-AMEKE-00044,jumamatsigameke,Jumámatsigameke,gameke,gameke,jumamatsi,DE-RAR-residual-recovery,301,Allwiſſend,0,0,False
RHD-AMEKE-00045,jumanamatschigameke,Jumánamatschígameke,gameke,gameke,jumanamatschi,RAR-DE,359,Allwissend,0,0,False
RHD-AMEKE-00046,jumarugameke,Jumarúgameke,ugameke,ugameke,jumar,RAR-DE,359,Vollkommen,4,0,False
RHD-AMEKE-00047,kachkagameke,Kachkágameke,gameke,gameke,kachka,RAR-DE,359,Süß,1,1,False
RHD-AMEKE-00048,lesiameke,Leſiameke,iameke,iameke,les,DE-RAR-residual-recovery,315,Ermüden,0,0,False
RHD-AMEKE-00049,lessiameke,Lessíameke,iameke,iameke,less,RAR-DE,360,"Müde, matt",1,1,False
RHD-AMEKE-00050,loguiameke,Loguiameke,iameke,iameke,logu,DE-RAR-residual-recovery,336 | 347 | 349 | 351,Raſen | Unſinnig | Wahnſinnig | Wüthig,0,0,False
RHD-AMEKE-00051,loguijameke,Loguijameke,jameke,jameke,logui,RAR-DE,360,Raſend,0,0,False
RHD-AMEKE-00052,mahajameke,Mahajámeke,jameke,jameke,maha,DE-RAR-residual-recovery,319,Furchtſam,0,0,False
RHD-AMEKE-00053,matichirujegameke,Matichirujégameke,gameke,gameke,matichiruje,DE-RAR-residual-recovery,340,Schüler,0,0,False
RHD-AMEKE-00054,matschigameke,Matſchigameke,gameke,gameke,matschi,DE-RAR-residual-recovery,309 | 315 | 320 | 326 | 348,Bewußt | Erfahren | Gelehrt | Klug | Verſtändig,0,0,False
RHD-AMEKE-00055,matschirujegameke,Matſchirujegámeke,gameke,gameke,matschiruje,DE-RAR-residual-recovery,329,Lehrling,0,0,False
RHD-AMEKE-00056,melirugameke,Melirúgameke,ugameke,ugameke,melir,RAR-DE,361,Geschlachtet,1,0,False
RHD-AMEKE-00057,mujajameke,Mujájameke,jameke,jameke,muja,DE-RAR-residual-recovery,338,Roſt | Roſtig,0,0,False
RHD-AMEKE-00058,mujameke,Mujámeke,jameke,jameke,mu,DE-RAR-residual-recovery,347,Verfault,0,0,False
RHD-AMEKE-00059,muki cuneameke,Muki cunéameke,ameke_other,ameke,muki cune,DE-RAR-residual-recovery,313,Eheweib,0,0,False
RHD-AMEKE-00060,mukiameke,Mukíameke,iameke,iameke,muk,DE-RAR-residual-recovery,313,Ehemann,0,0,False
RHD-AMEKE-00061,mukiiatiameke,Mukiiatiameke,iameke,iameke,mukiiat,RAR-DE,361,Sterblich,0,0,False
RHD-AMEKE-00062,mukijameke,Mukijameke,jameke,jameke,muki,RAR-DE,361,oder beſſer upiameke,0,0,False
RHD-AMEKE-00063,mukuameke,Mukúameke,ameke_other,ameke,muku,RAR-DE,361,Todt,3,0,False
RHD-AMEKE-00064,najujameke,Najújameke,jameke,jameke,naju,RAR-DE,362,Ein Kranker,1,0,False
RHD-AMEKE-00065,nalsiameke,Nalſiameke,iameke,iameke,nals,DE-RAR-residual-recovery,342 | 346,Sorglos | Trag,0,0,False
RHD-AMEKE-00066,nassiameke,Naſsiameke,iameke,iameke,nass,DE-RAR-residual-recovery,316,Faul,0,0,False
RHD-AMEKE-00067,nesseameke,Neſſéameke,ameke_other,ameke,nesse,RAR-DE,362,Hüter,2,1,False
RHD-AMEKE-00068,neteijameke,Neteíjameke,jameke,jameke,netei,RAR-DE,362,Schöpfer,0,0,False
RHD-AMEKE-00069,netejameke,Netéjameke,jameke,jameke,nete,DE-RAR-residual-recovery,315,Erſchaffer,0,0,False
RHD-AMEKE-00070,ogajameke,Ogájameke,jameke,jameke,oga,DE-RAR-residual-recovery,324,Heilend,0,0,False
RHD-AMEKE-00071,ogueameke,Oguéameke,ameke_other,ameke,ogue,DE-RAR-residual-recovery,304,Arzney,0,0,False
RHD-AMEKE-00072,oguesameke,Oguésameke,ameke_other,ameke,ogues,DE-RAR-residual-recovery,325,Hülfsmittel,0,0,False
RHD-AMEKE-00073,ossanaguoameke,Ossanaguóameke,ameke_other,ameke,ossanaguo,RAR-DE,363,Der Achte,1,0,False
RHD-AMEKE-00074,otisherameke,Otiſherameke,ameke_other,ameke,otisher,RAR-DE,363,Ein alter Mann,0,0,False
RHD-AMEKE-00075,pagorugameke,Pagorúgameke,ugameke,ugameke,pagor,DE-RAR-residual-recovery,301 | 321,Abwaſchen | Getauft,0,0,False
RHD-AMEKE-00076,pagotugameke,Pagotúgameke,ugameke,ugameke,pagot,RAR-DE,363,Ein Getaufter,3,0,False
RHD-AMEKE-00077,pahiameke,Pahiameke | Pahíameke,iameke,iameke,pah,DE-RAR-residual-recovery,338 | 346,Saufer | Trinker,0,0,False
RHD-AMEKE-00078,pamagueameke,Pamáguéameke,ameke_other,ameke,pamague,RAR-DE,363,Grün,0,0,False
RHD-AMEKE-00079,parugameke,Parúgameke,ugameke,ugameke,par,RAR-DE,363,Fortgetragenes,0,0,False
RHD-AMEKE-00080,pauguirugameke,Pauguirugameke,ugameke,ugameke,pauguir,DE-RAR-residual-recovery,350,Wäſſerig,0,0,False
