member_id,record_id,exclusive_suffix_class,analysis_token_key,source_direction,gloss_evidence_tier,source_verified_german_gloss,machine_parsed_german_context,german_context_for_analysis,functional_surface_proxy,german_documentary_domain_proxies,human_reviewed
RHD-AMEKE-00001,RHD-S1809-00032,ameke_other,ajonameke,RAR-DE,source_verified_rar_de_article_gloss,ein Zorniger,,ein Zorniger,multiword_or_ambiguous_proxy,state_condition_proxy | human_person_agent_proxy,False
RHD-AMEKE-00002,RHD-S1809-01664,ugameke,baicarugameke,RAR-DE,source_verified_rar_de_article_gloss,dreyfach,,dreyfach,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00003,RHD-S1809-01666,ameke_other,bajeameke,RAR-DE,source_verified_rar_de_article_gloss,der Rufende,,der Rufende,multiword_or_ambiguous_proxy,human_person_agent_proxy,False
RHD-AMEKE-00006,RHD-S1809-01678,ugameke,bassirugameke,RAR-DE,source_verified_rar_de_article_gloss,Gekochtes,,Gekochtes,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00010,RHD-S1809-01699,ugameke,bulirugameke,RAR-DE,source_verified_rar_de_article_gloss,Gebundenes,,Gebundenes,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00011,RHD-S1809-01720,ameke_other,cavolameke,RAR-DE,source_verified_rar_de_article_gloss,"oder cavórameke, kugelförmig",,"oder cavórameke, kugelförmig",multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00012,RHD-S1809-01696,jameke,coajameke,RAR-DE,source_verified_rar_de_article_gloss,das Eſſen,,das Eſſen,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00014,RHD-S1809-01747,ameke_other,cotschimeameke,RAR-DE,source_verified_rar_de_article_gloss,Ein Schlafender,,Ein Schlafender,multiword_or_ambiguous_proxy,human_person_agent_proxy,False
RHD-AMEKE-00015,RHD-S1809-01752,iameke,cuguiameke,RAR-DE,source_verified_rar_de_article_gloss,Helfer,,Helfer,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00016,RHD-S1809-01759,ameke_other,culeameke,RAR-DE,source_verified_rar_de_article_gloss,"Ein Ort, oder Gegend, wo es Holz oder Bäume giebt",,"Ein Ort, oder Gegend, wo es Holz oder Bäume giebt",multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00017,RHD-S1809-01754,ameke_other,culuameke,RAR-DE,source_verified_rar_de_article_gloss,"dick, fett, leibig, Schmeerbauch",,"dick, fett, leibig, Schmeerbauch",multiword_or_ambiguous_proxy,physical_property_proxy,False
RHD-AMEKE-00018,RHD-S1809-01757,ameke_other,cuneameke,RAR-DE,source_verified_rar_de_article_gloss,Verheurathete Weibsperson,,Verheurathete Weibsperson,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00020,RHD-S1809-01760,ameke_other,cusigueameke,RAR-DE,source_verified_rar_de_article_gloss,"Der einen Stab oder Stecken hat, ſ",,"Der einen Stab oder Stecken hat, ſ",multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00022,RHD-S1809-01778,ameke_other,etschaguoameke,RAR-DE,source_verified_rar_de_article_gloss,"Der einen Bart hat, s",,"Der einen Bart hat, s",multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00025,RHD-S1809-01804,iameke,ganeliameke,RAR-DE,source_verified_rar_de_article_gloss,"Der geſund iſt, dem es gut geht",,"Der geſund iſt, dem es gut geht",multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00028,RHD-S1809-01843,ameke_other,guelameke,RAR-DE,source_verified_rar_de_article_gloss,altes Weib,,altes Weib,multiword_or_ambiguous_proxy,human_person_agent_proxy,False
RHD-AMEKE-00030,RHD-S1809-01865,gameke,haagameke,RAR-DE,source_verified_rar_de_article_gloss,Belebt,,Belebt,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00034,RHD-S1809-01906,ameke_other,humeameke,RAR-DE,source_verified_rar_de_article_gloss,Flüchtling,,Flüchtling,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00036,RHD-S1809-01923,ameke_other,igueameke,RAR-DE,source_verified_rar_de_article_gloss,"Ein Starker, der Kräfte hat",,"Ein Starker, der Kräfte hat",multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00038,RHD-S1809-01934,jameke,itschiguajameke,RAR-DE,source_verified_rar_de_article_gloss,Dieb,,Dieb,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00042,RHD-S1809-01943,gameke,gatigameke,RAR-DE,source_verified_rar_de_article_gloss,Allgegenwärtig,,Allgegenwärtig,property_surface_proxy,other_or_unclassified,False
RHD-AMEKE-00043,RHD-S1809-01942,jameke,jumajumajameke,RAR-DE,source_verified_rar_de_article_gloss,Allmächtig,,Allmächtig,property_surface_proxy,other_or_unclassified,False
RHD-AMEKE-00045,RHD-S1809-01944,gameke,jumanamatschigameke,RAR-DE,source_verified_rar_de_article_gloss,Allwissend,,Allwissend,present_participle_surface_proxy,state_condition_proxy | process_result_surface_proxy,False
RHD-AMEKE-00046,RHD-S1809-01945,ugameke,jumarugameke,RAR-DE,source_verified_rar_de_article_gloss,Vollkommen,,Vollkommen,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00047,RHD-S1809-01951,gameke,kachkagameke,RAR-DE,source_verified_rar_de_article_gloss,Süß,,Süß,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00049,RHD-S1809-01992,iameke,lessiameke,RAR-DE,source_verified_rar_de_article_gloss,"Müde, matt",,"Müde, matt",multiword_or_ambiguous_proxy,state_condition_proxy,False
RHD-AMEKE-00051,RHD-S1809-01996,jameke,loguijameke,RAR-DE,source_verified_rar_de_article_gloss,Raſend,,Raſend,present_participle_surface_proxy,process_result_surface_proxy,False
RHD-AMEKE-00056,RHD-S1809-02011,ugameke,melirugameke,RAR-DE,source_verified_rar_de_article_gloss,Geschlachtet,,Geschlachtet,past_participle_surface_proxy,process_result_surface_proxy,False
RHD-AMEKE-00061,RHD-S1809-02034,iameke,mukiiatiameke,RAR-DE,source_verified_rar_de_article_gloss,Sterblich,,Sterblich,property_surface_proxy,other_or_unclassified,False
RHD-AMEKE-00062,RHD-S1809-02031,jameke,mukijameke,RAR-DE,source_verified_rar_de_article_gloss,oder beſſer upiameke,,oder beſſer upiameke,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00063,RHD-S1809-02036,ameke_other,mukuameke,RAR-DE,source_verified_rar_de_article_gloss,Todt,,Todt,other_single_word_proxy,state_condition_proxy,False
