member_id,exclusive_suffix_class,analysis_token_key,source_layer,record_id,article_headword,local_german_label,alignment_risk,functional_proxy,participle_surface_proxy,human_reviewed
RHD-AMEKE-00001,ameke_other,ajonameke,RAR-DE,RHD-S1809-00032,,ein Zorniger,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00002,ugameke,baicarugameke,RAR-DE,RHD-S1809-01664,,dreyfach,direct,other_single_word_proxy,False,False
RHD-AMEKE-00003,ameke_other,bajeameke,RAR-DE,RHD-S1809-01666,,der Rufende,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00006,ugameke,bassirugameke,RAR-DE,RHD-S1809-01678,,Gekochtes,direct,other_single_word_proxy,False,False
RHD-AMEKE-00010,ugameke,bulirugameke,RAR-DE,RHD-S1809-01699,,Gebundenes,direct,other_single_word_proxy,False,False
RHD-AMEKE-00011,ameke_other,cavolameke,RAR-DE,RHD-S1809-01720,,"oder cavórameke, kugelförmig",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00012,jameke,coajameke,RAR-DE,RHD-S1809-01696,,das Eſſen,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00014,ameke_other,cotschimeameke,RAR-DE,RHD-S1809-01747,,Ein Schlafender,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00015,iameke,cuguiameke,RAR-DE,RHD-S1809-01752,,Helfer,direct,other_single_word_proxy,False,False
RHD-AMEKE-00016,ameke_other,culeameke,RAR-DE,RHD-S1809-01759,,"Ein Ort, oder Gegend, wo es Holz oder Bäume giebt",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00017,ameke_other,culuameke,RAR-DE,RHD-S1809-01754,,"dick, fett, leibig, Schmeerbauch",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00018,ameke_other,cuneameke,RAR-DE,RHD-S1809-01757,,Verheurathete Weibsperson,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00020,ameke_other,cusigueameke,RAR-DE,RHD-S1809-01760,,"Der einen Stab oder Stecken hat, ſ",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00022,ameke_other,etschaguoameke,RAR-DE,RHD-S1809-01778,,"Der einen Bart hat, s",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00025,iameke,ganeliameke,RAR-DE,RHD-S1809-01804,,"Der geſund iſt, dem es gut geht",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00028,ameke_other,guelameke,RAR-DE,RHD-S1809-01843,,altes Weib,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00030,gameke,haagameke,RAR-DE,RHD-S1809-01865,,Belebt,direct,other_single_word_proxy,False,False
RHD-AMEKE-00034,ameke_other,humeameke,RAR-DE,RHD-S1809-01906,,Flüchtling,direct,other_single_word_proxy,False,False
RHD-AMEKE-00036,ameke_other,igueameke,RAR-DE,RHD-S1809-01923,,"Ein Starker, der Kräfte hat",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00038,jameke,itschiguajameke,RAR-DE,RHD-S1809-01934,,Dieb,direct,other_single_word_proxy,False,False
RHD-AMEKE-00042,gameke,gatigameke,RAR-DE,RHD-S1809-01943,,Allgegenwärtig,direct,property_surface_proxy,False,False
RHD-AMEKE-00043,jameke,jumajumajameke,RAR-DE,RHD-S1809-01942,,Allmächtig,direct,property_surface_proxy,False,False
RHD-AMEKE-00045,gameke,jumanamatschigameke,RAR-DE,RHD-S1809-01944,,Allwissend,direct,present_participle_surface_proxy,True,False
RHD-AMEKE-00046,ugameke,jumarugameke,RAR-DE,RHD-S1809-01945,,Vollkommen,direct,other_single_word_proxy,False,False
RHD-AMEKE-00047,gameke,kachkagameke,RAR-DE,RHD-S1809-01951,,Süß,direct,other_single_word_proxy,False,False
RHD-AMEKE-00049,iameke,lessiameke,RAR-DE,RHD-S1809-01992,,"Müde, matt",direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00051,jameke,loguijameke,RAR-DE,RHD-S1809-01996,,Raſend,direct,present_participle_surface_proxy,True,False
RHD-AMEKE-00056,ugameke,melirugameke,RAR-DE,RHD-S1809-02011,,Geschlachtet,direct,past_participle_surface_proxy,True,False
RHD-AMEKE-00061,iameke,mukiiatiameke,RAR-DE,RHD-S1809-02034,,Sterblich,direct,property_surface_proxy,False,False
RHD-AMEKE-00062,jameke,mukijameke,RAR-DE,RHD-S1809-02031,,oder beſſer upiameke,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00063,ameke_other,mukuameke,RAR-DE,RHD-S1809-02036,,Todt,direct,other_single_word_proxy,False,False
RHD-AMEKE-00064,jameke,najujameke,RAR-DE,RHD-S1809-02069,,Ein Kranker,direct,multiword_or_ambiguous_proxy,False,False
RHD-AMEKE-00067,ameke_other,nesseameke,RAR-DE,RHD-S1809-02111,,Hüter,direct,other_single_word_proxy,False,False
RHD-AMEKE-00068,jameke,neteijameke,RAR-DE,RHD-S1809-02112,,Schöpfer,direct,other_single_word_proxy,False,False
RHD-AMEKE-00073,ameke_other,ossanaguoameke,RAR-DE,RHD-S1809-02143,,Der Achte,direct,multiword_or_ambiguous_proxy,False,False
