member_id,graphic_key,exclusive_suffix_class,member_level_provenance,analysis_token_key,analysis_token_differs_from_member_key,member_is_multiword_expression,direct_rar_de_support_for_analysis_token,recovered_member_overlaps_direct_rar_de_token,facsimile_unit_decision,target_infinitive_shape_proxy_count,human_reviewed
RHD-AMEKE-00001,ajonameke,ameke_other,RAR-DE,ajonameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00002,baicarugameke,ugameke,RAR-DE,baicarugameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00003,bajeameke,ameke_other,RAR-DE,bajeameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00004,bassatiameke,iameke,DE-RAR-recovery,bassatiameke,False,False,False,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00005,bassiameke,iameke,DE-RAR-recovery,bassiameke,False,False,False,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00006,bassirugameke,ugameke,RAR-DE,bassirugameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00007,bassirujameke,jameke,DE-RAR-recovery,bassirujameke,False,False,False,False,not_in_ugameke_facsimile_audit,1,False
RHD-AMEKE-00008,bassujameke,jameke,DE-RAR-recovery,bassujameke,False,False,False,False,not_in_ugameke_facsimile_audit,1,False
RHD-AMEKE-00009,bucuameke,ameke_other,DE-RAR-recovery,bucuameke,False,False,False,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00010,bulirugameke,ugameke,RAR-DE,bulirugameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00011,cavolameke,ameke_other,RAR-DE,cavolameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00012,coajameke,jameke,RAR-DE,coajameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00013,cocojameke,jameke,DE-RAR-recovery,cocojameke,False,False,False,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00014,cotschimeameke,ameke_other,RAR-DE,cotschimeameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00015,cuguiameke,iameke,RAR-DE,cuguiameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00016,culeameke,ameke_other,RAR-DE,culeameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00017,culuameke,ameke_other,RAR-DE,culuameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00018,cuneameke,ameke_other,RAR-DE,cuneameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00019,cusigameke,gameke,DE-RAR-recovery,cusigameke,False,False,False,False,not_in_ugameke_facsimile_audit,1,False
RHD-AMEKE-00020,cusigueameke,ameke_other,RAR-DE,cusigueameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00021,etschagueameke,ameke_other,DE-RAR-recovery,etschagueameke,False,False,False,False,not_in_ugameke_facsimile_audit,0,False
RHD-AMEKE-00022,etschaguoameke,ameke_other,RAR-DE,etschaguoameke,False,False,True,False,not_in_ugameke_facsimile_audit,0,False
