attestation_id,de_rar_record_id,de_rar_headword_diplomatic,de_rar_printed_page,rar_de_record_id,rar_de_component_index,rar_de_form_diplomatic,rar_de_german_gloss_local,rar_de_printed_page,graphic_key,short_form_warning,reciprocal_german_support,reciprocal_support_type,human_reviewed
RHD-IATT-000001,RHD-S1809-00001,Abgehen,301,RHD-S1809-02248,1,Róco,"Es mangelt, geht ab",365,roco,False,False,none,False
RHD-IATT-000002,RHD-S1809-00001,Abgehen,301,RHD-S1809-02284,1,Simi,Gehen,365,simi,False,False,none,False
RHD-IATT-000003,RHD-S1809-00001,Abgehen,301,RHD-S1809-02320,1,Taitéke,"taitéki, Es iſt nicht vorhanden",366,taiteke,False,False,none,False
RHD-IATT-000004,RHD-S1809-00002,Abhalten,301,RHD-S1809-02306,1,Sulí,Verbieten,366,suli,False,False,none,False
RHD-IATT-000005,RHD-S1809-00003,Abhauen,301,RHD-S1809-02282,1,Siká,"Hauen, zerſchneiden",365,sika,False,False,none,False
RHD-IATT-000006,RHD-S1809-00003,Abhauen,301,RHD-S1809-02283,1,Sikirúgameke,Zerhauenes,365,sikirugameke,False,False,none,False
RHD-IATT-000007,RHD-S1809-00003,Abhauen,301,RHD-S1809-02385,1,Tepulá,"oder tepurá, Hauen, hacken",367,tepula,False,False,none,False
RHD-IATT-000008,RHD-S1809-00004,Abhäufen,301,RHD-S1809-02321,1,Talá,Fuß,366,tala,False,False,none,False
RHD-IATT-000009,RHD-S1809-00005,Abmeſſen,301,RHD-S1809-02077,1,Nanaguá,Messen,362,nanagua,False,False,none,False
RHD-IATT-000010,RHD-S1809-00006,Abnehmen,301,RHD-S1809-02267,1,Schugui,"Abnehmen, wenig werden",365,schugui,False,True,german_headword_gloss_containment,False
RHD-IATT-000011,RHD-S1809-00007,Abſchicken,301,RHD-S1809-01901,1,Hulá,"Schicken, senden",358,hula,False,False,none,False
RHD-IATT-000012,RHD-S1809-00008,Abſtehen,301,RHD-S1809-02237,1,Regué,Aufhören,364,regue,False,False,none,False
RHD-IATT-000013,RHD-S1809-00008,Abſtehen,301,RHD-S1809-02237,2,aregué,Aufhören,364,aregue,False,False,none,False
RHD-IATT-000014,RHD-S1809-00009,Abſteigen,301,RHD-S1809-02284,1,Simi,Gehen,365,simi,False,False,none,False
RHD-IATT-000015,RHD-S1809-00009,Abſteigen,301,RHD-S1809-02363,1,Tele,Unten,366,tele,False,False,none,False
RHD-IATT-000016,RHD-S1809-00010,Abwärts,301,RHD-S1809-02368,1,Telegona,Abwärts,367,telegona,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000017,RHD-S1809-00013,Abzählen,301,RHD-S1809-02335,1,Tará,Zählen,366,tara,False,False,none,False
RHD-IATT-000018,RHD-S1809-00014,Acht,301,RHD-S1809-02142,1,Oſſanaguóco,Acht,363,ossanaguoco,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000019,RHD-S1809-00014,Acht,301,RHD-S1809-02143,1,Ossanaguóameke,Der Achte,363,ossanaguoameke,False,False,none,False
RHD-IATT-000020,RHD-S1809-00014,Acht,301,RHD-S1809-02144,1,Oſſanaguéſſa,Achtmal,363,ossanaguessa,False,False,none,False
RHD-IATT-000021,RHD-S1809-00015,Acht haben,301,RHD-S1809-01802,1,Gané,Recht gut,357,gane,False,False,none,False
RHD-IATT-000022,RHD-S1809-00015,Acht haben,301,RHD-S1809-01952,1,Kakè,Hören,359,kake,False,False,none,False
RHD-IATT-000023,RHD-S1809-00016,Acker,301,RHD-S1809-01683,1,Báſſa,"Acker, Feld",354,bassa,False,True,german_headword_gloss_containment,False
RHD-IATT-000024,RHD-S1809-00018,Aernten,301,RHD-S1809-02282,1,Siká,"Hauen, zerſchneiden",365,sika,False,False,none,False
RHD-IATT-000025,RHD-S1809-00019,Allein,301,RHD-S1809-02177,1,Pinélipi,Alleinig,364,pinelipi,False,False,none,False
RHD-IATT-000026,RHD-S1809-00020,Alles,301,RHD-S1809-01939,1,Jumá,"oder Jomá, Alles",359,juma,False,True,german_headword_gloss_containment,False
RHD-IATT-000027,RHD-S1809-00021,Allenthalben,301,RHD-S1809-01939,1,Jumá,"oder Jomá, Alles",359,juma,False,False,none,False
RHD-IATT-000028,RHD-S1809-00022,Allerdings,301,RHD-S1809-01907,1,Hune,ſ,358,hune,False,False,none,False
RHD-IATT-000029,RHD-S1809-00023,Allzeit,301,RHD-S1809-02289,1,Sinévi,"oder linivi, Immer, allezeit",365,sinevi,False,False,none,False
RHD-IATT-000030,RHD-S1809-00025,"Alſobald, alſogleich",302,RHD-S1809-01884,1,Hipeco,Alſogleich,358,hipeco,False,True,german_headword_gloss_containment,False
RHD-IATT-000031,RHD-S1809-00025,"Alſobald, alſogleich",302,RHD-S1809-01886,1,Hípela,"Itzt gleich, dieſen Augenblick",358,hipela,False,False,none,False
RHD-IATT-000032,RHD-S1809-00070,Ackern,301,RHD-S1809-01671,1,Baſſaráboa,es muß geackert werden,354,bassaraboa,False,False,none,False
RHD-IATT-000033,RHD-S1809-00070,Ackern,301,RHD-S1809-01684,1,Baſſará,"Ackern, pflügen",354,bassara,False,True,german_headword_gloss_containment,False
RHD-IATT-000034,RHD-S1809-00070,Ackern,301,RHD-S1809-01687,1,Bóa,ſ,355,boa,True,False,none,False
RHD-IATT-000035,RHD-S1809-00072,Allmächtig,301,RHD-S1809-01942,1,Jumájumájameke,Allmächtig,359,jumajumajameke,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000036,RHD-S1809-00074,Aloe,301,RHD-S1809-02022,1,Muhé,"muhéli, Du",361,muhe,False,False,none,False
RHD-IATT-000037,RHD-S1809-00081,Alſo,302,RHD-S1809-02203,1,Pugué,Warten,364,pugue,False,False,none,False
RHD-IATT-000038,RHD-S1809-00085,Alt,302,RHD-S1809-01843,1,Guelámeke,altes Weib,357,guelameke,False,False,none,False
RHD-IATT-000039,RHD-S1809-00087,Ameiſe,302,RHD-S1809-02019,1,Motsáca,Ameise,361,motsaca,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000040,RHD-S1809-00089,Anderer,302,RHD-S1809-01902,1,Húli,s,358,huli,False,False,none,False
RHD-IATT-000041,RHD-S1809-00089,Anderer,302,RHD-S1809-01903,1,Huli,"Ein anderer, anderes",358,huli,False,True,german_headword_gloss_containment,False
RHD-IATT-000042,RHD-S1809-00089,Anderer,302,RHD-S1809-02276,1,Senú,Ein anderes,365,senu,False,False,none,False
RHD-IATT-000043,RHD-S1809-00089,Anderer,302,RHD-S1809-02277,1,Senúla,Noch ein anderes,365,senula,False,False,none,False
RHD-IATT-000044,RHD-S1809-00090,Anderſt,302,RHD-S1809-02273,1,Seguí,Auf eine andere Weise,365,segui,False,False,none,False
RHD-IATT-000045,RHD-S1809-00093,Anfechten,302,RHD-S1809-02262,1,Satuje,Anfechten,365,satuje,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000046,RHD-S1809-00094,Anfechter,302,RHD-S1809-02261,1,Satiameke,Anfechter,365,satiameke,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000047,RHD-S1809-00095,Anfüllen,302,RHD-S1809-02190,1,Potschí,Anfüllen,364,potschi,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000048,RHD-S1809-00095,Anfüllen,302,RHD-S1809-02192,1,Potſchiruc,"Es iſt voll, angefüllt",364,potschiruc,False,False,none,False
RHD-IATT-000049,RHD-S1809-00096,Angeſicht,302,RHD-S1809-02245,1,Retéguala,Angeſicht,365,reteguala,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000050,RHD-S1809-00100,Annehmen,302,RHD-S1809-01855,1,Guiki,Annehmen,357,guiki,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000051,RHD-S1809-00101,"Anſchauen, anſehen",302,RHD-S1809-02107,1,Nené,Sehen,362,nene,False,False,none,False
RHD-IATT-000052,RHD-S1809-00101,"Anſchauen, anſehen",302,RHD-S1809-02244,1,Reteguá,Sehen,365,retegua,False,False,none,False
RHD-IATT-000053,RHD-S1809-00103,Anſtreichen,302,RHD-S1809-02263,1,Sauguéra,Anſtreichen,365,sauguera,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000054,RHD-S1809-00104,Antworten,302,RHD-S1809-02104,1,Nehajámera,Antworten,362,nehajamera,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000055,RHD-S1809-00106,Anzünden,302,RHD-S1809-02067,1,Naïgé,Anzünden,362,naige,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000056,RHD-S1809-00106,Anzünden,302,RHD-S1809-02068,1,Näíruc,Es ist angezündet,362,nairuc,False,False,none,False
RHD-IATT-000057,RHD-S1809-00107,Apatſchee,302,RHD-S1809-01654,1,Apatſche,ſ,354,apatsche,False,False,none,False
RHD-IATT-000058,RHD-S1809-00116,Arbeit,304,RHD-S1809-01930,1,Inoitſánali,Arbeit,359,inoitsanali,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000059,RHD-S1809-00117,Arbeiten,304,RHD-S1809-00044,1,Inoitſá,Arbeiten,359,inoitsa,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000060,RHD-S1809-00117,Arbeiten,304,RHD-S1809-00045,1,Inoitſamela,"Man ſoll, oder muß arbeiten",359,inoitsamela,False,True,german_headword_gloss_containment,False
RHD-IATT-000061,RHD-S1809-00129,Aufladen,304,RHD-S1809-01653,1,Balá,"Beladen, beſchweren, aufladen",354,bala,False,True,german_headword_gloss_containment,False
RHD-IATT-000062,RHD-S1809-00129,Aufladen,304,RHD-S1809-01670,1,Baláliruc,Was beladen worden,354,balaliruc,False,False,none,False
RHD-IATT-000063,RHD-S1809-00136,Aufbehalten,304,RHD-S1809-02110,1,Neſſé,Bewahren,362,nesse,False,False,none,False
RHD-IATT-000064,RHD-S1809-00138,Aufhören,304,RHD-S1809-02237,1,Regué,Aufhören,364,regue,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000065,RHD-S1809-00138,Aufhören,304,RHD-S1809-02237,2,aregué,Aufhören,364,aregue,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000066,RHD-S1809-00141,"Aufmachen, d. i. öffnen",304,RHD-S1809-01785,1,Epúaje,"oder epúje, Aufmachen",356,epuaje,False,False,none,False
RHD-IATT-000067,RHD-S1809-00142,Aufmerken,304,RHD-S1809-01802,1,Gané,Recht gut,357,gane,False,False,none,False
RHD-IATT-000068,RHD-S1809-00142,Aufmerken,304,RHD-S1809-01952,1,Kakè,Hören,359,kake,False,False,none,False
RHD-IATT-000069,RHD-S1809-00144,Aufſpielen,304,RHD-S1809-02309,1,Tápoa,"Aufſpielen, Muſik machen",366,tapoa,False,True,german_headword_gloss_containment,False
