triage_id,source_candidate_id,de_rar_record_id,de_rar_headword_diplomatic,candidate_span_diplomatic,graphic_key,printed_page,profile_class,machine_signal_confidence,review_priority_tier,profile_log_likelihood_ratio,german_anchor_token_ratio,nearest_rar_de_graphic_key,nearest_rar_de_edit_distance,nearest_rar_de_similarity,human_reviewed,decision
RHD-RTRI-000001,RHD-RSPAN-000309,RHD-S1809-00399,Einöde,Cauguiki,cauguiki,314,strong_raramuri_profile_signal,high_machine_signal,1,3.1461,0.0,cauguliki,1,0.889,False,not_assessed
RHD-RTRI-000002,RHD-RSPAN-001308,RHD-S1809-01516,Wald,Caugúiki,cauguiki,349,strong_raramuri_profile_signal,high_machine_signal,1,3.1461,0.0,cauguliki,1,0.889,False,not_assessed
RHD-RTRI-000003,RHD-RSPAN-001380,RHD-S1809-01575,Wüſte,cauguiki,cauguiki,351,strong_raramuri_profile_signal,high_machine_signal,1,3.1461,0.0,cauguliki,1,0.889,False,not_assessed
RHD-RTRI-000004,RHD-RSPAN-000368,RHD-S1809-00472,Faſttag,Jumaguáliki,jumagualiki,316,strong_raramuri_profile_signal,high_machine_signal,1,3.1215,0.0,jumagaliki,1,0.909,False,not_assessed
RHD-RTRI-000005,RHD-RSPAN-000390,RHD-S1809-00491,Feſttag,Jumaguáliki,jumagualiki,316,strong_raramuri_profile_signal,high_machine_signal,1,3.1215,0.0,jumagaliki,1,0.909,False,not_assessed
RHD-RTRI-000006,RHD-RSPAN-000408,RHD-S1809-00522,Fluß,Paugui,paugui,318,strong_raramuri_profile_signal,high_machine_signal,1,3.0969,0.0,pauguo,1,0.833,False,not_assessed
RHD-RTRI-000007,RHD-RSPAN-000029,RHD-S1809-00024,Alsdann,Guitſoco,guitsoco,302,strong_raramuri_profile_signal,high_machine_signal,1,2.8086,0.0,guitloco,1,0.875,False,not_assessed
RHD-RTRI-000008,RHD-RSPAN-000265,RHD-S1809-00341,Dorn,Soiguala,soiguala,312,strong_raramuri_profile_signal,high_machine_signal,1,2.7787,0.0,siguaca,2,0.75,False,not_assessed
RHD-RTRI-000009,RHD-RSPAN-000995,RHD-S1809-01175,Seil,uíla,uila,340,strong_raramuri_profile_signal,high_machine_signal,1,2.7598,0.0,uili,1,0.75,False,not_assessed
RHD-RTRI-000010,RHD-RSPAN-000683,RHD-S1809-00826,Krank,Cocojameke,cocojameke,327,strong_raramuri_profile_signal,high_machine_signal,1,2.7308,0.0,coajameke,2,0.8,False,not_assessed
RHD-RTRI-000011,RHD-RSPAN-001009,RHD-S1809-01198,Sieh,Cocojámeke,cocojameke,341,strong_raramuri_profile_signal,high_machine_signal,1,2.7308,0.0,coajameke,2,0.8,False,not_assessed
RHD-RTRI-000012,RHD-RSPAN-000651,RHD-S1809-00780,Kehren,Petſiki,petsiki,326,strong_raramuri_profile_signal,high_machine_signal,1,2.7267,0.0,pusiki,2,0.714,False,not_assessed
