association_id,family_hypothesis_id,seed_recovery_id,seed_graphic_key,family_key_count,context_covered_key_count,context_coverage_ratio,german_context_string_count,top_tokens,human_reviewed
RHD-GCTX-F-00001,RHD-GFAM-00001,RHD-RREC-000043,thulameke,152,152,1.0,179,kalt | allwissend | altes | getauft | kugelformig | rund | sandig | sieden | stacameke | weib | weiss | ehemann | sterblich | waizen | thun,False
RHD-GCTX-F-00002,RHD-GFAM-00002,RHD-RREC-000031,pahiameke,151,151,1.0,178,allwissend | altes | getauft | kugelformig | rund | sandig | sieden | stacameke | weib | weiss | ehemann | sterblich | waizen | thun | besser,False
RHD-GCTX-F-00003,RHD-GFAM-00003,RHD-RREC-000006,peguameke,151,151,1.0,178,allwissend | altes | getauft | hart | kugelformig | rund | sandig | sieden | stacameke | weib | weiss | ehemann | sterblich | waizen | thun,False
RHD-GCTX-F-00004,RHD-GFAM-00004,RHD-RREC-000004,repagameke,80,80,1.0,96,allwissend | altes | getauft | weib | ehemann | waizen,False
RHD-GCTX-F-00005,RHD-GFAM-00005,RHD-RREC-000028,jolarugameke,72,72,1.0,83,altes | getauft | weib | ehemann | waizen | machen | thun,False
RHD-GCTX-F-00006,RHD-GFAM-00006,RHD-RREC-000017,polirugameke,68,68,1.0,79,altes | getauft | weib | ehemann | waizen,False
RHD-GCTX-F-00007,RHD-GFAM-00007,RHD-RREC-000034,pagorugameke,67,67,1.0,78,altes | getauft | weib | ehemann | waizen,False
RHD-GCTX-F-00008,RHD-GFAM-00008,RHD-RREC-000029,tschitulameke,66,66,1.0,73,altes | kreis | kugelformig | rund | stinken | weib | ort | ehemann,False
RHD-GCTX-F-00009,RHD-GFAM-00009,RHD-RREC-000035,bassujameke,63,63,1.0,70,altes | sieden | weib | ehemann | besser,False
RHD-GCTX-F-00010,RHD-GFAM-00010,RHD-RREC-000044,tschepi,62,62,1.0,68,ergreifen | eichhornchen | kreis | kriechen | maul | maus | rund | salben | saugen | schlagen | stinken | feuer | sich,False
RHD-GCTX-F-00011,RHD-GFAM-00011,RHD-RREC-000023,mujajameke,60,60,1.0,67,altes | rost | sieden | weib | ehemann | besser,False
RHD-GCTX-F-00012,RHD-GFAM-00012,RHD-RREC-000016,cocojameke,59,59,1.0,66,altes | sieden | weib | krank | ehemann | besser,False
RHD-GCTX-F-00013,RHD-GFAM-00013,RHD-RREC-000033,ta pagotugameke,58,58,1.0,69,altes | getauft | weib | ehemann | waizen,False
RHD-GCTX-F-00014,RHD-GFAM-00014,RHD-RREC-000002,loguiameke,57,57,1.0,67,altes | rasen | weib | ehemann | sterblich,False
RHD-GCTX-F-00015,RHD-GFAM-00015,RHD-RREC-000037,nalsiameke,56,56,1.0,66,altes | weib | ehemann | sterblich,False
RHD-GCTX-F-00016,RHD-GFAM-00016,RHD-RREC-000010,schuguiameke,51,51,1.0,61,altes | verzehren | weib | ehemann,False
RHD-GCTX-F-00017,RHD-GFAM-00017,RHD-RREC-000024,paca,38,38,1.0,41,gebahren | rana,False
RHD-GCTX-F-00018,RHD-GFAM-00018,RHD-RREC-000025,tschitula,37,37,1.0,40,eichhornchen | kreis | maus | rund | stinken | feuer | sich,False
RHD-GCTX-F-00019,RHD-GFAM-00019,RHD-RREC-000021,pepuliki,31,31,1.0,35,abwaschung | fasttag | topf | jahr,False
RHD-GCTX-F-00020,RHD-GFAM-00020,RHD-RREC-000020,naja,29,29,1.0,33,gebahren | rana | taje | lang,False
RHD-GCTX-F-00021,RHD-GFAM-00021,RHD-RREC-000003,tschutscha,28,28,1.0,32,maul | salben | saugen,False
RHD-GCTX-F-00022,RHD-GFAM-00022,RHD-RREC-000008,buila,26,26,1.0,30,strick | suppe,False
RHD-GCTX-F-00023,RHD-GFAM-00023,RHD-RREC-000014,tutschi,25,25,1.0,29,anfullen | saugen | zerreiben | pferd | ross,False
RHD-GCTX-F-00024,RHD-GFAM-00024,RHD-RREC-000027,cajutschi,21,21,1.0,25,saugen | pferd | ross,False
