family_hypothesis_id,seed_recovery_id,seed_graphic_key,seed_surface_forms,seed_de_rar_headwords,seed_occurrence_count,neighbor_count,neighbor_graphic_keys,human_reviewed
RHD-GFAM-00001,RHD-RREC-000035,bassujameke,Baſſujameke | baſſújameke,Heiß | Sieden,2,25,bassirujameke | bassiameke | bassirugameke | bassatiameke | najujameke | mujameke | mahajameke | bajeameke | bucuameke | coajameke | cocojameke | itschiguajameke | jolajameke | jumajumajameke | loguijameke | mujajameke | mukijameke | neteijameke | netejameke | ogajameke | schiojameke | ta mahajameke | tessiguajameke | tsainijolajameke | tsanijameke,False
RHD-GFAM-00002,RHD-RREC-000008,buila,Buila,Schlinge | Strang | Strick,3,25,suila | uila | aguila | bula | mukila | guilma | ekila | upila | bala | balla | batla | bura | guala | hula | mula | nula | baica | uili | cuguila | hoguila | cauguila | jauguila | pauguila | cato guila | tschorike pauguila,False
RHD-GFAM-00003,RHD-RREC-000016,cocojameke,Cocojameke | Cocojámeke,Krank | Sieh,2,25,coajameke | schiojameke | jolajameke | ogajameke | loguijameke | mahajameke | mujajameke | mujameke | mukijameke | najujameke | netejameke | ajonameke | bucuameke | culeameke | culuameke | cuneameke | honeameke | ogueameke | bassirujameke | bassujameke | itschiguajameke | jumajumajameke | neteijameke | ta mahajameke | tessiguajameke,False
RHD-GFAM-00004,RHD-RREC-000028,jolarugameke,Jolárugameke | jolarúgameke,Machen | Thun,2,25,jumarugameke | holirugameke | polirugameke | parugameke | tanarugameke | bulirugameke | hulirugameke | melirugameke | jolajameke | baicarugameke | pagorugameke | sikirugameke | taragameke | pouguaca jumarugameke | tschutarugameke | bassirugameke | gabassirugameke | gassirugameke | guauguerugameke | pauguirugameke | potschirugameke | tepulirugameke | tschapirugameke | tutschirugameke | ipagatugameke,False
RHD-GFAM-00005,RHD-RREC-000002,loguiameke,Loguiameke,Raſen | Unſinnig | Wahnſinnig | Wüthig,4,25,cuguiameke | ogueameke | loguijameke | lesiameke | lessiameke | igueameke | ogajameke | peguameke | reguameke | schuguiameke | schugiameke | bassiameke | mukiameke | nalsiameke | nassiameke | pahiameke | sakiameke | samiameke | satiameke | seliameke | simiameke | sriameke | veniameke | bucuameke | coajameke,False
RHD-GFAM-00006,RHD-RREC-000023,mujajameke,Mujájameke,Roſt | Roſtig,2,25,mujameke | mahajameke | mukijameke | coajameke | jolajameke | ogajameke | najujameke | mukiameke | mukuameke | cocojameke | netejameke | ajonameke | bajeameke | bucuameke | culeameke | culuameke | cuneameke | guelameke | haagameke | humeameke | saaeameke | stacameke | uelameke | upeameke | itschiguajameke,False
RHD-GFAM-00007,RHD-RREC-000020,naja,Najá | naja,Lang | Sonſt,2,25,najasi | napa | nacoja | nagua | muja | nape | baca | bala | gala | haa | laca | lala | maga | maha | nola | nula | paa | paca | para | rana | tala | tana | tara | baje | raje,False
RHD-GFAM-00008,RHD-RREC-000037,nalsiameke,Nalſiameke,Sorglos | Trag,2,25,nassiameke | bassiameke | lesiameke | lessiameke | pahiameke | sakiameke | samiameke | satiameke | seliameke | bassatiameke | ganeliameke | cuguiameke | loguiameke | mukiameke | simiameke | sriameke | veniameke | ajonameke | bajeameke | culeameke | culuameke | haagameke | saaeameke | sapeameke | uelameke,False
RHD-GFAM-00009,RHD-RREC-000024,paca,Páca,Kraut | Stroh,2,25,sapaca | uipaca | baca | laca | paa | para | peraca | acaca | ataca | elaca | guaca | kiaca | baica | taica | racha | kacac | hoca | oca | pahi | pali | s-ca | teca | bala | gala | haa,False
RHD-GFAM-00010,RHD-RREC-000034,pagorugameke,Pagorúgameke,Abwaſchen | Getauft,2,25,pagotugameke | parugameke | pauguirugameke | ipagatugameke | polirugameke | tanarugameke | ta pagotugameke | baicarugameke | bassirugameke | gassirugameke | bulirugameke | holirugameke | hulirugameke | jolarugameke | jumarugameke | melirugameke | sikirugameke | taragameke | peguameke | gabassirugameke | guauguerugameke | potschirugameke | pouguaca jumarugameke | tepulirugameke | tschapirugameke,False
