occurrence_id,record_id,printed_page,headword_component_diplomatic,graphic_key,occurrence_within_component,grapheme,start_index,position,preceding_character,following_character,following_class,eligible_for_reported_vowel_distribution,merrill_distribution_check,status,automatic_phonological_interpretation,automatic_sound_correspondence_inference,human_reviewed
RHD-AFF-OCC-00001,RHD-S1809-00030,353,Acatsi,acatsi,1,ts,3,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00002,RHD-S1809-01654,354,Apatſche,apatsche,1,tsch,3,medial,a,e,vowel_e,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00003,RHD-S1809-00038,354,Atſchi,atschi,1,tsch,1,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00004,RHD-S1809-01658,354,Atſchilélila,atschilelila,1,tsch,1,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00005,RHD-S1809-01661,354,Bacalátſchi,bacalatschi,1,tsch,6,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00006,RHD-S1809-01673,354,Atſác,atsac,1,ts,1,medial,a,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00007,RHD-S1809-01681,354,Batſá,batsa,1,ts,2,medial,a,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00008,RHD-S1809-01682,354,Batſabe,batsabe,1,ts,2,medial,a,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00009,RHD-S1809-01707,355,Cajatſchi,cajatschi,1,tsch,4,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00010,RHD-S1809-01710,355,Calitſchiki,calitschiki,1,tsch,4,medial,i,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00011,RHD-S1809-01711,355,Cambolatſchi,cambolatschi,1,tsch,7,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00012,RHD-S1809-01729,355,Cocotſchi,cocotschi,1,tsch,4,medial,o,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00013,RHD-S1809-01731,355,Cojatſchi,cojatschi,1,tsch,4,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00014,RHD-S1809-01736,355,Colatſchi,colatschi,1,tsch,4,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00015,RHD-S1809-01744,355,Cotſchi,cotschi,1,tsch,2,medial,o,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00016,RHD-S1809-01745,355,Cotſchiki,cotschiki,1,tsch,2,medial,o,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00017,RHD-S1809-01746,355,Cotſchimé,cotschime,1,tsch,2,medial,o,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00018,RHD-S1809-01747,355,Cotſchimeameke,cotschimeameke,1,tsch,2,medial,o,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00019,RHD-S1809-01749,356,Cucútſchigua,cucutschigua,1,tsch,4,medial,u,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00020,RHD-S1809-01764,356,Cutsi,cutsi,1,ts,2,medial,u,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00021,RHD-S1809-01765,356,Cútſchigua,cutschigua,1,tsch,2,medial,u,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00022,RHD-S1809-01766,356,Cutſchiki,cutschiki,1,tsch,2,medial,u,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00023,RHD-S1809-01771,356,Echtſchá,echtscha,1,tsch,3,medial,h,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00024,RHD-S1809-01773,356,Echtſchiruc,echtschiruc,1,tsch,3,medial,h,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00025,RHD-S1809-01777,356,Etſchaguala,etschaguala,1,tsch,1,medial,e,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00026,RHD-S1809-01778,356,Etschaguóameke,etschaguoameke,1,tsch,1,medial,e,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00027,RHD-S1809-01781,356,Ekítschipí,ekitschipi,1,tsch,3,medial,i,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00028,RHD-S1809-01793,356,Etschubú,etschubu,1,tsch,1,medial,e,u,vowel_u,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00029,RHD-S1809-01829,357,Guarátscha,guaratscha,1,tsch,5,medial,a,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00030,RHD-S1809-01832,357,Guatschíki,guatschiki,1,tsch,3,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00031,RHD-S1809-01833,357,Guatschó,guatscho,1,tsch,3,medial,a,o,vowel_o,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00032,RHD-S1809-01838,357,Guechtsáca,guechtsaca,1,ts,5,medial,h,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00033,RHD-S1809-01839,357,Guechtschíc,guechtschic,1,tsch,5,medial,h,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00034,RHD-S1809-01841,357,Guechtsíki,guechtsiki,1,ts,5,medial,h,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00035,RHD-S1809-01848,357,Guenomèatſi,guenomeatsi,1,ts,8,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00036,RHD-S1809-01857,357,Guitſchiki,guitschiki,1,tsch,3,medial,i,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00037,RHD-S1809-01858,357,Guitſchila,guitschila,1,tsch,3,medial,i,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00038,RHD-S1809-01868,357,Haleséatschic,haleseatschic,1,tsch,7,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00039,RHD-S1809-01868,357,Hareséatschic,hareseatschic,1,tsch,7,medial,a,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00040,RHD-S1809-01874,358,Hatſca,hatsca,1,ts,2,medial,a,c,nonvowel,False,outside_simple_reported_vowel_distribution,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00041,RHD-S1809-01898,358,Hotſchila,hotschila,1,tsch,2,medial,o,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00042,RHD-S1809-01916,358,Ichetſo,ichetso,1,ts,4,medial,e,o,vowel_o,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00043,RHD-S1809-01928,359,Ikitsiki,ikitsiki,1,ts,3,medial,i,i,vowel_i,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00044,RHD-S1809-00044,359,Inoitſá,inoitsa,1,ts,4,medial,i,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00045,RHD-S1809-00045,359,Inoitſamela,inoitsamela,1,ts,4,medial,i,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
RHD-AFF-OCC-00046,RHD-S1809-01930,359,Inoitſánali,inoitsanali,1,ts,4,medial,i,a,vowel_a,True,compatible_with_reported_medial_free_variation,machine_graphemic_inventory_only,False,False,False
