concordance_id,graphic_key,rar_de_record_id,rar_de_form,rar_de_german_gloss,rar_de_page,de_rar_record_id,de_rar_headword,de_rar_page,reciprocal_german_support,reciprocal_support_type,human_reviewed,decision
RHD-ICONC-000001,abiti,RHD-S1809-00027,Abiti,ein kleines Kind,353,RHD-S1809-00790,Kind,326,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000002,acaca,RHD-S1809-00029,Acáca,Speichel,353,RHD-S1809-01220,Speichel,342,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000003,aguila,RHD-S1809-00031,Aguila,Tochter,353,RHD-S1809-01333,Tochter,346,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000004,aitaruc,RHD-S1809-01647,Aitáruc,Teufel,353,RHD-S1809-01327,Teufel,346,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000005,ajonoco,RHD-S1809-00033,Ajónoco,zörnen,353,RHD-S1809-01611,Zörnen,352,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000006,ajoruje,RHD-S1809-01644,Ajóruje,zornig machen,353,RHD-S1809-01612,Zornig,352,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000007,ame,RHD-S1809-00035,Amé,Suchen,353,RHD-S1809-01298,Suchen,345,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000008,amela,RHD-S1809-01651,Amela,Man ſoll oder muß ſuchen,353,RHD-S1809-01298,Suchen,345,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000009,amulipi,RHD-S1809-00036,Amulipi,Nahe,353,RHD-S1809-00971,Nahe,333,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000010,apiti,RHD-S1809-00027,Apiti,ein kleines Kind,353,RHD-S1809-00790,Kind,326,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000011,aregue,RHD-S1809-02237,aregué,Aufhören,364,RHD-S1809-00138,Aufhören,304,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000012,ariero,RHD-S1809-01656,Ariero,Eſeltreiber,354,RHD-S1809-00459,Eſeltreiber,315,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000013,atschi,RHD-S1809-00038,Atſchi,Lachen,354,RHD-S1809-00850,Lachen,328,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000014,atschi,RHD-S1809-00038,Atſchi,Lachen,354,RHD-S1809-00851,Lachen,328,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000015,atschilelila,RHD-S1809-01658,Atſchilélila,"das Lachen, Gelächter",354,RHD-S1809-00587,Gelächter,320,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000016,auguaca,RHD-S1809-00039,Auguáca,Horn,354,RHD-S1809-00738,Horn,325,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000017,bacaguaca,RHD-S1809-01660,Bacaguáca,Blatt,354,RHD-S1809-00272,Blatt,309,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000018,baje,RHD-S1809-01665,Bajé,Rufen,354,RHD-S1809-01051,Rufen,338,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000019,bajemela,RHD-S1809-01667,Bajémela,"Rufen ſollen, oder müſſen, ſ",354,RHD-S1809-01051,Rufen,338,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000020,bala,RHD-S1809-01653,Balá,"Beladen, beſchweren, aufladen",354,RHD-S1809-00129,Aufladen,304,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000021,bala,RHD-S1809-01653,Balá,"Beladen, beſchweren, aufladen",354,RHD-S1809-00237,Beſchweren,308,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000022,bassa,RHD-S1809-01683,Báſſa,"Acker, Feld",354,RHD-S1809-00016,Acker,301,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000023,bassa,RHD-S1809-01683,Báſſa,"Acker, Feld",354,RHD-S1809-00486,Feld,316,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000024,bassara,RHD-S1809-01684,Baſſará,"Ackern, pflügen",354,RHD-S1809-00070,Ackern,301,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000025,bassaraleke,RHD-S1809-01672,Baſſaráleke,"Pflug, ſ",354,RHD-S1809-01006,Pflug,335,true,german_headword_gloss_containment,false,not_assessed
