candidate_id,reading_layer,historical_record_id,historical_source_headword,historical_comparison_surface,historical_article_diplomatic,printed_page,historical_key,projected_key,projection_operations,modern_record_id,modern_headword,modern_translation,modern_classification,human_reviewed
RHD-AFFSRC-000001,diplomatic,RHD-S1809-00038,Atſchi,Atſchi,"Atſchi, Lachen.",354,atschi,achi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-000030,Achí,"Reír, sonreír",Vt,False
RHD-AFFSRC-000002,diplomatic,RHD-S1809-01681,Batſá,Batſá,"Batſá, Vorher, voraus.",354,batsa,bacha,historical_affricate_spelling_to_modern_ch_candidate_key,RD-000137,Bacha,"Primeramente, adelante, enfrente",Adv,False
RHD-AFFSRC-000003,diplomatic,RHD-S1809-01681,Batſá,Batſá,"Batſá, Vorher, voraus.",354,batsa,bacha,historical_affricate_spelling_to_modern_ch_candidate_key,RD-000138,Bachá,"Meter (a la cárcel), poner (adentro)",Vipl,False
RHD-AFFSRC-000004,diplomatic,RHD-S1809-01744,Cotſchi,Cotſchi,"Cotſchi, Schwein.",355,cotschi,cochi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-000481,Cochí,Perro,S,False
RHD-AFFSRC-000005,diplomatic,RHD-S1809-01744,Cotſchi,Cotſchi,"Cotſchi, Schwein.",355,cotschi,cochi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-000482,Cochí,Hermana mayor,S,False
RHD-AFFSRC-000006,diplomatic,RHD-S1809-01744,Cotſchi,Cotſchi,"Cotſchi, Schwein.",355,cotschi,cochi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-000483,Cochí,Dormir,Vi sing,False
RHD-AFFSRC-000007,diplomatic,RHD-S1809-01744,Cotſchi,Cotſchi,"Cotſchi, Schwein.",355,cotschi,cochi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-000484,"Cochi, cohuí",Marrano,S esp,False
RHD-AFFSRC-000008,diplomatic,RHD-S1809-01764,Cutsi,Cutsi,"Cutsi, Kurz.",356,cutsi,cuchi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-000560,Cuchi,Chiquitos,Adj pl,False
RHD-AFFSRC-000009,diplomatic,RHD-S1809-02006,Matſchi,Matſchi,"Matſchi, Draußen.",361,matschi,machi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-001232,Machí,"1. Saber, conocer 2. Hay luz 3. Verse bien",Vi,False
RHD-AFFSRC-000010,diplomatic,RHD-S1809-02006,Matſchi,Matſchi,"Matſchi, Draußen.",361,matschi,machi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-001233,"Machí, machíami",Afuera,Adv,False
RHD-AFFSRC-000011,diplomatic,RHD-S1809-02007,Matſchi,Matſchi,"Matſchi, als ein Zeitwort: wiſſen ſehen, erfahren, und dergleichen Bedeutungen mehr; als: tané matſchi, ich ſehe, oder ich weiß es nicht. Matſchijena, es keimt, kömmt hervor, wächſt.",361,matschi,machi,historical_affricate_spelling_to_modern_ch_candidate_key,RD-001232,Machí,"1. Saber, conocer 2. Hay luz 3. Verse bien",Vi,False
