audit_id,member_id,graphic_key,surface_forms,printed_pages,german_contexts,recovery_ids,target_proxy_context_count,priority,facsimile_reviewed,facsimile_decision,facsimile_reading,review_notes,human_reviewed
RHD-UG-FAC-001,RHD-AMEKE-00033,hulirugameke,Hulirúgameke,301,Abſchicken,RHD-RREC-000227,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-002,RHD-AMEKE-00075,pagorugameke,Pagorúgameke,301 | 321,Abwaſchen | Getauft,RHD-RREC-000034,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-003,RHD-AMEKE-00124,tepulirugameke,Tepulirúgameke,301,Abhauen,RHD-RREC-000083,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-004,RHD-AMEKE-00083,polirugameke,Polirúgameke,308 | 312,Bedecken | Decken,RHD-RREC-000017,2,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-005,RHD-AMEKE-00132,tschapirugameke,tſchapirúgameke,315,Ergreifen,RHD-RREC-000099,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-006,RHD-AMEKE-00027,guauguerugameke,Guauguérúgameke,320,Gebraten,RHD-RREC-000221,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-007,RHD-AMEKE-00111,ta pagotugameke,Tà pagotúgameke | Tá pagótugameke,323 | 347,Heide | Ungewaſchen,RHD-RREC-000033,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-008,RHD-AMEKE-00023,gabassirugameke,gabaſſirúgameke,326,Kochen,RHD-RREC-000266,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-009,RHD-AMEKE-00041,jolarugameke,Jolárugameke | jolarúgameke,330 | 346,Machen | Thun,RHD-RREC-000028,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-010,RHD-AMEKE-00026,gassirugameke,Gaſſirúgameke,338,Scherben,RHD-RREC-000254,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-011,RHD-AMEKE-00134,tschipugameke,Tſchipúgameke,344,Stinken,RHD-RREC-000082,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-012,RHD-AMEKE-00031,holirugameke,holirúgameke,350,Waizen,RHD-RREC-000232,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-013,RHD-AMEKE-00116,tanarugameke,tanarúgameke,352,Zeugen,RHD-RREC-000123,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-014,RHD-AMEKE-00144,tutschirugameke,tutſchirúgameke,352,Zerreiben,RHD-RREC-000128,1,P1_signal_bearing,False,not_assessed,,,False
RHD-UG-FAC-015,RHD-AMEKE-00037,ipagatugameke,Ipagatúgameke,321,Getauft,RHD-RREC-000250,0,P2_other_recovered_ugameke,False,not_assessed,,,False
RHD-UG-FAC-016,RHD-AMEKE-00140,tschutarugameke,Tſchutárugameke,338,Scharf,RHD-RREC-000108,0,P2_other_recovered_ugameke,False,not_assessed,,,False
RHD-UG-FAC-017,RHD-AMEKE-00080,pauguirugameke,Pauguirugameke,350,Wäſſerig,RHD-RREC-000075,0,P2_other_recovered_ugameke,False,not_assessed,,,False
RHD-UG-FAC-018,RHD-AMEKE-00086,pouguaca jumarugameke,Pouguáca jumarúgameke,350,Widder,RHD-RREC-000225,0,P2_other_recovered_ugameke,False,not_assessed,,,False
