analysis,removed_id,removed_class,removed_past_participle,rate_difference,target_rate,rest_rate,human_reviewed
single_class_article_jackknife,RHD-S1809-00001,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00007,ugameke,True,0.449573,0.538462,0.088889,False
single_class_article_jackknife,RHD-S1809-00011,ugameke,True,0.449573,0.538462,0.088889,False
single_class_article_jackknife,RHD-S1809-00194,ugameke,True,0.449573,0.538462,0.088889,False
single_class_article_jackknife,RHD-S1809-00321,ugameke,True,0.449573,0.538462,0.088889,False
single_class_article_jackknife,RHD-S1809-00389,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00431,ugameke,False,0.526496,0.615385,0.088889,False
single_class_article_jackknife,RHD-S1809-00438,iameke,True,0.503247,0.571429,0.068182,False
single_class_article_jackknife,RHD-S1809-00662,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00669,ugameke,False,0.526496,0.615385,0.088889,False
single_class_article_jackknife,RHD-S1809-00674,jameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00736,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00741,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00770,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00799,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00805,ugameke,True,0.449573,0.538462,0.088889,False
single_class_article_jackknife,RHD-S1809-00826,jameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00833,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00866,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00879,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00880,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-00895,ugameke,True,0.449573,0.538462,0.088889,False
single_class_article_jackknife,RHD-S1809-00985,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01021,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01055,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01066,iameke,True,0.503247,0.571429,0.068182,False
single_class_article_jackknife,RHD-S1809-01074,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01080,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01198,jameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01199,jameke,True,0.503247,0.571429,0.068182,False
single_class_article_jackknife,RHD-S1809-01216,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01267,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01281,ugameke,False,0.526496,0.615385,0.088889,False
single_class_article_jackknife,RHD-S1809-01321,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01335,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01347,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01374,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01375,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01376,jameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01381,ugameke,True,0.449573,0.538462,0.088889,False
single_class_article_jackknife,RHD-S1809-01384,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01388,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01396,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01405,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01407,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01408,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01420,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01423,jameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01435,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01462,gameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01475,iameke,True,0.503247,0.571429,0.068182,False
single_class_article_jackknife,RHD-S1809-01479,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01520,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01524,ugameke,False,0.526496,0.615385,0.088889,False
single_class_article_jackknife,RHD-S1809-01538,ameke_other,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01546,ugameke,False,0.526496,0.615385,0.088889,False
single_class_article_jackknife,RHD-S1809-01577,iameke,False,0.480519,0.571429,0.090909,False
single_class_article_jackknife,RHD-S1809-01596,ugameke,False,0.526496,0.615385,0.088889,False
single_class_article_jackknife,RHD-S1809-01600,ugameke,True,0.449573,0.538462,0.088889,False
token_unit_jackknife,bucuameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,honeameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,jauguirameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,oguesameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,peguameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,pugueameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,rolacameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,saaeameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,thulameke,ameke_other,False,0.420814,0.538462,0.117647,False
token_unit_jackknife,tschitulameke,ameke_other,False,0.420814,0.538462,0.117647,False
